id,花萼長度,花萼寬度,花瓣長度,花瓣寬度,屬種,type
114,6.8,3.2,5.9,2.3,Iris-virginica,3
115,6.7,3.3,5.7,2.5,Iris-virginica,3
116,6.7,3,5.2,2.3,Iris-virginica,3
117,6.3,2.5,5,1.9,Iris-virginica,3
118,6.5,3,5.2,2,Iris-virginica,3
119,6.2,3.4,5.4,2.3,Iris-virginica,3
120,5.9,3,5.1,1.8,Iris-virginica,3
121,,3,4.9,1.2,Iris-new_type,4
122,5.2,,5.1,1.8,Iris-new_type,4
123,6.1,3.2,5.1,1.8,Iris-new_type,4
